Card,Fetch,Collectr,TCGPlayer
GD03-001 Gundam NT-1,https://www.fetchtcg.com/cards/gdm_sr-GD03-001_LR+_L_holofoil/gundam-gundam-nt-1-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675699/gundam-card-game-steel-requiem-gundam-nt-1-lr-gd03-001,https://www.tcgplayer.com/product/675699/gundam-card-game-steel-requiem-gundam-nt-1-lrplus?page=1&Language=English
GD03-002 The-O,https://www.fetchtcg.com/cards/gdm_sr-GD03-002_LR+_L_holofoil/gundam-the-o-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675721/gundam-card-game-steel-requiem-the-o-lr-gd03-002,https://www.tcgplayer.com/product/675721/gundam-card-game-steel-requiem-the-o-lrplus?Language=all&page=1
GD03-003 Messala,https://www.fetchtcg.com/cards/gdm_sr-GD03-003_R+_R_holofoil/gundam-messala-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675705/gundam-card-game-steel-requiem-messala-r-gd03-003,https://www.tcgplayer.com/product/675705/gundam-card-game-steel-requiem-messala-rplus?Language=all&page=1
GD03-010 Full Armor Unicorn Gundam (Destroy Mode),https://www.fetchtcg.com/cards/gdm_sr-GD03-010_U+_DMU_holofoil/gundam-full-armor-unicorn-gundam-destroy-mode-u-steel-requiem-holofoil-dmu,https://app.getcollectr.com/explore/product/676109/gundam-card-game-steel-requiem-full-armor-unicorn-gundam-destroy-mode-u-gd03-010,https://www.tcgplayer.com/product/676109/gundam-card-game-steel-requiem-full-armor-unicorn-gundam-destroy-mode-uplus?Language=all&page=1
GD03-017 Kampfer,https://www.fetchtcg.com/cards/gdm_sr-GD03-017_LR+_LR+_holofoil/gundam-kampfer-lr-steel-requiem-holofoil-lr,https://app.getcollectr.com/explore/product/675702/gundam-card-game-steel-requiem-kampfer-lr-gd03-017,https://www.tcgplayer.com/product/675702/gundam-card-game-steel-requiem-kampfer-lrplus?Language=all&page=1
GD03-018 Altron Gundam,https://www.fetchtcg.com/cards/gdm_sr-GD03-018_LR+_L_holofoil/gundam-altron-gundam-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675680/gundam-card-game-steel-requiem-altron-gundam-lr-gd03-018,https://www.tcgplayer.com/product/675680/gundam-card-game-steel-requiem-altron-gundam-lrplus?Language=all&page=1
GD03-019 Gundam AGE-2 Normal,https://www.fetchtcg.com/cards/gdm_sr-GD03-019_LR+_L_holofoil/gundam-gundam-age-2-normal-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675694/gundam-card-game-steel-requiem-gundam-age-2-normal-lr-gd03-019,https://www.tcgplayer.com/product/675694/gundam-card-game-steel-requiem-gundam-age-2-normal-lrplus?Language=all&page=1
GD03-020 Zaku II FZ,https://www.fetchtcg.com/cards/gdm_sr-GD03-020_R+_R_holofoil/gundam-zaku-ii-fz-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675723/gundam-card-game-steel-requiem-zaku-ii-fz-r-gd03-020,https://www.tcgplayer.com/product/675723/gundam-card-game-steel-requiem-zaku-ii-fz-rplus?Language=all&page=1
GD03-022 Gundam Kyrios,https://www.fetchtcg.com/cards/gdm_sr-GD03-022_R+_R_holofoil/gundam-gundam-kyrios-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675698/gundam-card-game-steel-requiem-gundam-kyrios-r-gd03-022,https://www.tcgplayer.com/product/675698/gundam-card-game-steel-requiem-gundam-kyrios-rplus?Language=all&page=1
GD03-033 Providence Gundam,https://www.fetchtcg.com/cards/gdm_sr-GD03-033_LR+_L_holofoil/gundam-providence-gundam-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675708/gundam-card-game-steel-requiem-providence-gundam-lr-gd03-033,https://www.tcgplayer.com/product/675708/gundam-card-game-steel-requiem-providence-gundam-lrplus?Language=all&page=1
GD03-034 GQuuuuuuX (Omega Psycommu),https://www.fetchtcg.com/cards/gdm_sr-GD03-034_LR+_OPL_holofoil/gundam-gquuuuuux-omega-psycommu-lr-steel-requiem-holofoil-opl,https://app.getcollectr.com/explore/product/675690/gundam-card-game-steel-requiem-gquuuuuux-omega-psycommu-lr-gd03-034,https://www.tcgplayer.com/product/675690/gundam-card-game-steel-requiem-gquuuuuux-omega-psycommu-lrplus?Language=all&page=1
GD03-035 GFreD,https://www.fetchtcg.com/cards/gdm_sr-GD03-035_LR+_L_holofoil/gundam-gfred-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675688/gundam-card-game-steel-requiem-gfred-lr-gd03-035,https://www.tcgplayer.com/product/675688/gundam-card-game-steel-requiem-gfred-lrplus?Language=all&page=1
GD03-036 Ξ Gundam (Flight Form),https://www.fetchtcg.com/cards/gdm_sr-GD03-036_R+_FFR_holofoil/gundam-xi-gundam-flight-form-r-steel-requiem-holofoil-ffr,https://app.getcollectr.com/explore/product/676110/gundam-card-game-steel-requiem-xi-gundam-flight-form-r-gd03-036,https://www.tcgplayer.com/product/676110/gundam-card-game-steel-requiem-xi-gundam-flight-form-rplus?Language=all&page=1
GD03-037 Bertigo,https://www.fetchtcg.com/cards/gdm_sr-GD03-037_R+_R_holofoil/gundam-bertigo-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675683/gundam-card-game-steel-requiem-bertigo-r-gd03-037,https://www.tcgplayer.com/product/675683/gundam-card-game-steel-requiem-bertigo-rplus?Language=all&page=1
GD03-049 Gundam Exia (Trans-Am),https://www.fetchtcg.com/cards/gdm_sr-GD03-049_LR+_TL_holofoil/gundam-gundam-exia-trans-am-lr-steel-requiem-holofoil-tl,https://app.getcollectr.com/explore/product/675696/gundam-card-game-steel-requiem-gundam-exia-trans-am-lr-gd03-049,https://www.tcgplayer.com/product/675696/gundam-card-game-steel-requiem-gundam-exia-trans-am-lrplus?Language=all&page=1
GD03-050 Gundam Barbatos Lupus,https://www.fetchtcg.com/cards/gdm_sr-GD03-050_LR+_L_holofoil/gundam-gundam-barbatos-lupus-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675695/gundam-card-game-steel-requiem-gundam-barbatos-lupus-lr-gd03-050,https://www.tcgplayer.com/product/675695/gundam-card-game-steel-requiem-gundam-barbatos-lupus-lrplus?Language=all&page=1
GD03-052 Gundam Virtue,https://www.fetchtcg.com/cards/gdm_sr-GD03-052_R+_R_holofoil/gundam-gundam-virtue-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675700/gundam-card-game-steel-requiem-gundam-virtue-r-gd03-052,https://www.tcgplayer.com/product/675700/gundam-card-game-steel-requiem-gundam-virtue-rplus?Language=all&page=1
GD03-053 Gundam Gusion Rebake Full City,https://www.fetchtcg.com/cards/gdm_sr-GD03-053_R+_R_holofoil/gundam-gundam-gusion-rebake-full-city-r-steel-requiem-holofoil-r,https://app.getcollectr.com/explore/product/675697/gundam-card-game-steel-requiem-gundam-gusion-rebake-full-city-r-gd03-053,https://www.tcgplayer.com/product/675697/gundam-card-game-steel-requiem-gundam-gusion-rebake-full-city-rplus?Language=all&page=1
GD03-069 Graham's Union Flag Custom,https://www.fetchtcg.com/cards/gdm_sr-GD03-069_LR+_L_holofoil/gundam-grahams-union-flag-custom-lr-steel-requiem-holofoil-l,https://app.getcollectr.com/explore/product/675692/gundam-card-game-steel-requiem-graham-s-union-flag-custom-lr-gd03-069,https://www.tcgplayer.com/product/675692/gundam-card-game-steel-requiem-grahams-union-flag-custom-lrplus?Language=all&page=1
