Type,Card,Pair #1,Pair #2,Pair #3,Pair #4,Pair #5,Pair #6,Pair #7
Unit,EB01-001 Gundam Astray Red Frame Custom (EX),EB01-044 Justice Gundam (EX),EB01-025 Tallgeese Ⅱ,EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-046 Striker Custom (EX),EB01-041 Strike Freedom Gundam (EX),,
Unit,EB01-002 Hi-Nu Gundam (EX),,,,,,,
Unit,EB01-003 Narrative Gundam A-Packs (EX),EB01-025 Tallgeese Ⅱ,EB01-046 Striker Custom (EX),EB01-045 Psycho Zaku (EX),,,,
Unit,EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-006 Gundam Astray Gold Frame Amatsu,EB01-021 Build Strike Gundam (Full Package) (EX),EB01-001 Gundam Astray Red Frame Custom (EX),EB01-046 Striker Custom (EX),EB01-041 Strike Freedom Gundam (EX),EB01-045 Psycho Zaku (EX),EB01-023 Le Cygne (EX)
Unit,EB01-006 Gundam Astray Gold Frame Amatsu,EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-021 Build Strike Gundam (Full Package) (EX),,,,,
Unit,EB01-009 Gundam Full Armor (Thunderbolt) (EX),,,,,,,
Unit,EB01-021 Build Strike Gundam (Full Package) (EX),EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-006 Gundam Astray Gold Frame Amatsu,,,,,
Unit,EB01-022 Gundam Exia (EX),,,,,,,
Unit,EB01-023 Le Cygne (EX),EB01-042 Psycho Haro (EX),EB01-046 Striker Custom (EX),EB01-004 Gundam Barbatos Lupus Rex (EX),,,,
Unit,EB01-025 Tallgeese Ⅱ,EB01-003 Narrative Gundam A-Packs (EX),EB01-046 Striker Custom (EX),EB01-044 Justice Gundam (EX),EB01-001 Gundam Astray Red Frame Custom (EX),,,
Unit,EB01-041 Strike Freedom Gundam (EX),EB01-045 Psycho Zaku (EX),EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-001 Gundam Astray Red Frame Custom (EX),,,,
Unit,EB01-042 Psycho Haro (EX),EB01-023 Le Cygne (EX),EB01-004 Gundam Barbatos Lupus Rex (EX),,,,,
Unit,EB01-043 Blue Destiny Unit-1 (EX),,,,,,,
Unit,EB01-044 Justice Gundam (EX),EB01-025 Tallgeese Ⅱ,EB01-001 Gundam Astray Red Frame Custom (EX),,,,,
Unit,EB01-045 Psycho Zaku (EX),EB01-041 Strike Freedom Gundam (EX),EB01-003 Narrative Gundam A-Packs (EX),,,,,
Unit,EB01-046 Striker Custom (EX),EB01-003 Narrative Gundam A-Packs (EX),EB01-025 Tallgeese Ⅱ,EB01-004 Gundam Barbatos Lupus Rex (EX),EB01-001 Gundam Astray Red Frame Custom (EX),EB01-023 Le Cygne (EX),,
