Type,Card
Unit,GD02-001 Psycho Gundam
Unit,GD02-002 Gundam Epyon
Unit,GD02-003 Gundam Mk-II (Titans)
Unit,GD02-005 Tallgeese
Unit,GD02-020 Elmeth
Unit,GD02-021 Gundam AGE-1 Normal
Unit,GD02-023 Gundam AGE-1 Spallow
Unit,GD02-024 Red Gundam
Unit,GD02-036 Qubeley
Unit,GD02-037 Gundam Virsago
Unit,GD02-038 GQuuuuuuX (Omega Psycommu)
Unit,GD02-040 Gundam Ashtaron
Unit,GD02-041 Sugai's Gelgoog (GQ)
Unit,GD02-053 Gundam X
Unit,GD02-054 Gundam Barbatos 1st Form
Unit,GD02-055 Gundam Gusion Rebake
Unit,GD02-059 Gundam Airmaster
Unit,GD02-060 Gundam Leopard
Unit,GD02-069 Zeta Gundam
Unit,GD02-070 Gundam Kimaris
Unit,GD02-072 Hyaku-Shiki
Unit,GD02-073 Carta's Graze Ritter (Ground Type)
Pilot,GD02-085 Four Murasame
Pilot,GD02-088 Flit Asuno
Pilot,GD02-091 Haman Karn
Pilot,GD02-094 Garrod Ran & Tiffa Adill
Pilot,GD02-097 Kamille Bidan
Command,GD02-100 Dramatic Turnabout
Command,GD02-103 AGE Device
Command,GD02-107 All-Range Attack
Command,GD02-110 Awakened Power
Command,GD02-112 Momentary Respite
Base,GD02-129 Argama
