Type,Card,Pair #1
Unit,GD05-001 V2 Gundam
Unit,GD05-002 Strike Freedom Gundam
Unit,GD05-004 Akatsuki (Oowashi)
Unit,GD05-006 Hashmal
Unit,GD05-017 Nu Gundam
Unit,GD05-018 Gundam Calibarn
Unit,GD05-020 Nu Gundam
Unit,GD05-021 Gundam AGE-2 Double Bullet
Unit,GD05-033 Master Gundam,GD05-051 Gundam Barbatos Lupus Rex
Unit,GD05-034 Gaia Gundam
Unit,GD05-035 Dragon Gundam,GD05-052 Sazabi
Unit,GD05-037 Destroy Gundam
Unit,GD05-049 Sazabi
Unit,GD05-050 Gundam Exia Repair
Unit,GD05-051 Gundam Barbatos Lupus Rex,GD05-033 Master Gundam
Unit,GD05-052 Sazabi,GD05-035 Dragon Gundam
Unit,GD05-055 Destiny Gundam,GD05-067 Wing Gundam Zero (EW)
Unit,GD05-066 Shining Gundam
Unit,GD05-067 Wing Gundam Zero (EW),GD05-055 Destiny Gundam
Unit,GD05-068 Shining Gundam (Super Mode)
Unit,GD05-070 Tallgeese Ⅲ
Pilot,GD05-081 Kira Yamato
Pilot,GD05-085 Amuro Ray
Pilot,GD05-089 Master Asia
Pilot,GD05-090 Stellar Loussier
Pilot,GD05-093 Char Aznable
Pilot,GD05-097 Domon Kasshu
Pilot,GD05-098 Heero Yuy
Command,GD05-102 Wings of Light
Command,GD05-106 Mutual Attraction
Command,GD05-114 Widespread Annihilation
Command,GD05-119 A Wind Against Fires
